art_style,emotion,painting,repetition,utterance,version,split,tokens_len,utterance_spelled,emotion_label,image_file,grounding_emotion
Minimalism,fear,jiro-yoshihara_untitled(1),17,The outline is wavy and unnatural. The black is unnerving. The red section is reminiscent of blood.,new,train,17,the outline is wavy and unnatural the black is unnerving the red section is reminiscent of blood,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Minimalism/jiro-yoshihara_untitled(1).jpg,fear
Pop_Art,sadness,howard-hodgkin_girl-on-a-sofa-1968,19,the person in this picture looks a little stuck in that position which makes me sad,new,train,16,the person in this picture looks a little stuck in that position which makes me sad,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/howard-hodgkin_girl-on-a-sofa-1968.jpg,sadness
Color_Field_Painting,sadness,theodoros-stamos_infinity-field-lefkada-series-1983,14,"It is so monotone and empty, it makes me sad",new,train,10,it is so monotone and empty it makes me sad,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/theodoros-stamos_infinity-field-lefkada-series-1983.jpg,sadness
Color_Field_Painting,fear,theodoros-stamos_infinity-field-lefkada-series-1983,14,It is dark and stormy and bad things could happen.,new,train,10,it is dark and stormy and bad things could happen,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/theodoros-stamos_infinity-field-lefkada-series-1983.jpg,fear
Color_Field_Painting,sadness,theodoros-stamos_infinity-field-lefkada-series-1983,14,The day turns into night where bad things happen.,new,train,9,the day turns into night where bad things happen,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/theodoros-stamos_infinity-field-lefkada-series-1983.jpg,sadness
Ukiyo_e,sadness,katsushika-hokusai_concert-under-the-wisteria,6,"The image is so dull, its hard to decipher.",new,val,9,the image is so dull its hard to decipher,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Ukiyo_e/katsushika-hokusai_concert-under-the-wisteria.jpg,sadness
Northern_Renaissance,disgust,martin-schongauer_madonna-on-the-turf-bench,32,I think it is gross that the baby is naked,new,train,10,i think it is gross that the baby is naked,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_madonna-on-the-turf-bench.jpg,disgust
Pop_Art,disgust,howard-hodgkin_girl-on-a-sofa-1968,19,The chaos of the design looks like a destroyed guitar in a sea of red blood,new,train,16,the chaos of the design looks like a destroyed guitar in a sea of red blood,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/howard-hodgkin_girl-on-a-sofa-1968.jpg,disgust
Pop_Art,sadness,hiro-yamagata_not-detected-272417,5,I think it is sad that the planes are eventually going to fall down,new,test,14,i think it is sad that the planes are eventually going to fall down,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/hiro-yamagata_not-detected-272417.jpg,sadness
Naive_Art_Primitivism,fear,marc-chagall_they-were-in-forty-pairs-1948,25,The fear of diseases is spreading among the crowd,new,train,9,the fear of diseases is spreading among the crowd,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Naive_Art_Primitivism/marc-chagall_they-were-in-forty-pairs-1948.jpg,fear
Mannerism_Late_Renaissance,contentment,correggio_virgin-and-child-with-an-angel-madonna-del-latte-1524,10,A mother is displaying her breast for her babies to nurse.,new,train,11,a mother is displaying her breast for her babies to nurse,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/correggio_virgin-and-child-with-an-angel-madonna-del-latte-1524.jpg,contentment
Rococo,disgust,dmitry-levitzky_portrait-of-f-p-makerovskiy-in-masquerade-costume-1789,4,The midget boy was born into great wealth,new,train,8,the midget boy was born into great wealth,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/dmitry-levitzky_portrait-of-f-p-makerovskiy-in-masquerade-costume-1789.jpg,disgust
Pop_Art,fear,andy-warhol_elvis,1,Elvis is pointing a gun at me and having a gun pointed at me makes me feel fearful,new,train,18,elvis is pointing a gun at me and having a gun pointed at me makes me feel fearful,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/andy-warhol_elvis.jpg,fear
Realism,sadness,ion-andreescu_leafless-forest,20,"The barren trees, broken stumps, and gloomy atmosphere project a sense of decay and make me sad.",new,train,17,the barren trees broken stumps and gloomy atmosphere project a sense of decay and make me sad,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Realism/ion-andreescu_leafless-forest.jpg,sadness
Realism,fear,ion-andreescu_leafless-forest,20,I would never go down this path of darkness,new,train,9,i would never go down this path of darkness,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Realism/ion-andreescu_leafless-forest.jpg,fear
Realism,fear,ion-andreescu_leafless-forest,20,the creepy trees make a gloomy entrance to this dark forest,new,train,11,the creepy trees make a gloomy entrance to this dark forest,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Realism/ion-andreescu_leafless-forest.jpg,fear
Impressionism,amusement,ivan-vladimirov_walk-in-the-park-1905,3,Any given afternoon where you go out to enjoy the sun with friends.,new,train,13,any given afternoon where you go out to enjoy the sun with friends,0,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Impressionism/ivan-vladimirov_walk-in-the-park-1905.jpg,amusement
Realism,sadness,james-tissot_statesmen-no-380-caricature-of-archibald-campbell-tait-archbishop-of-canterbury,2,"The man is thin and lanky, his pose makes him look weak. The blowing of his robes make it feel as though the man is not in control of things",new,train,30,the man is thin and lanky his pose makes him look weak the blowing of his robes make it feel as though the man is not in control of things,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Realism/james-tissot_statesmen-no-380-caricature-of-archibald-campbell-tait-archbishop-of-canterbury.jpg,sadness
Romanticism,fear,sir-lawrence-alma-tadema_the-education-of-the-children-of-clovis-1861,11,Why is a child throwing sharp objects at a board while adults look on?,new,train,14,why is a child throwing sharp objects at a board while adults look on,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Romanticism/sir-lawrence-alma-tadema_the-education-of-the-children-of-clovis-1861.jpg,fear
Art_Nouveau_Modern,sadness,edmund-dulac_psyche-and-cerberus,4,the look of fear in the womans eyes makes me sad,new,train,11,the look of fear in the womans eyes makes me sad,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Art_Nouveau_Modern/edmund-dulac_psyche-and-cerberus.jpg,sadness
Art_Nouveau_Modern,fear,edmund-dulac_psyche-and-cerberus,4,the act in the picture was shocked with fear when she saw the beasts,new,train,14,the act in the picture was shocked with fear when she saw the beasts,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Art_Nouveau_Modern/edmund-dulac_psyche-and-cerberus.jpg,fear
Cubism,disgust,auguste-herbin_dessert-1913,5,The colors are of murky green so it imbues the viewer with feelings of disgust. Everything just looks dilapidated.,new,test,19,the colors are of murky green so it imbues the viewer with feelings of disgust everything just looks dilapidated,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Cubism/auguste-herbin_dessert-1913.jpg,disgust
Expressionism,fear,konstantinos-parthenis_still-life-with-bottles,1,"looks like the buildings are not stable, like they are being bombed",new,train,12,looks like the buildings are not stable like they are being bombed,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Expressionism/konstantinos-parthenis_still-life-with-bottles.jpg,fear
Northern_Renaissance,awe,martin-schongauer_madonna-on-the-turf-bench,32,This is a particularly serene picture of the Madonna with Child and it fills me with a sense of contentment and awe.,new,train,22,this is a particularly serene picture of the madonna with child and it fills me with a sense of contentment and awe,1,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_madonna-on-the-turf-bench.jpg,awe
Fauvism,disgust,william-h.-johnson_female-nude-reclining-on-blue-ground-1940,4,the portrait is vulgar and inappropriate. not appeasing to the eye.,new,train,11,the portrait is vulgar and inappropriate not appeasing to the eye,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Fauvism/william-h.-johnson_female-nude-reclining-on-blue-ground-1940.jpg,disgust
Early_Renaissance,fear,domenico-ghirlandaio_decoration-of-the-sala-del-gigli,10,It looks as if these men took over a nation and are hurting the citizens.,new,train,15,it looks as if these men took over a nation and are hurting the citizens,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Early_Renaissance/domenico-ghirlandaio_decoration-of-the-sala-del-gigli.jpg,fear
Mannerism_Late_Renaissance,fear,titian_perseus-and-andromeda-1556,28,It looks like a big and scary monster is on the water eating people.,new,train,14,it looks like a big and scary monster is on the water eating people,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/titian_perseus-and-andromeda-1556.jpg,fear
Minimalism,contentment,robert-mangold_ring-a-yellow-2010,3,I love the bright cheerful yellow ring. It's like a glowing Sun,new,train,13,i love the bright cheerful yellow ring it is like a glowing sun,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Minimalism/robert-mangold_ring-a-yellow-2010.jpg,contentment
Minimalism,contentment,robert-mangold_ring-a-yellow-2010,3,The bright ring is filled with a cheerful and sunny yellow color and reminds me of a lemon.,new,train,18,the bright ring is filled with a cheerful and sunny yellow color and reminds me of a lemon,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Minimalism/robert-mangold_ring-a-yellow-2010.jpg,contentment
Rococo,fear,bernardo-bellotto_a-view-of-the-lobkowicz-palace-in-vienna-1761,7,the buildings loom and look municipal and threatening like prisons or asylums,new,train,12,the buildings loom and look municipal and threatening like prisons or asylums,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/bernardo-bellotto_a-view-of-the-lobkowicz-palace-in-vienna-1761.jpg,fear
Northern_Renaissance,fear,martin-schongauer_altar-of-omgeving-1491,30,the man have blood and cut on his stomach,new,train,9,the man have blood and cut on his stomach,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_altar-of-omgeving-1491.jpg,fear
Baroque,anger,rembrandt_the-anatomy-lesson-of-dr-nicolaes-tulp-fragment-1632-1,2,the man look like they are going to attack someone,new,train,10,the man look like they are going to attack someone,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Baroque/rembrandt_the-anatomy-lesson-of-dr-nicolaes-tulp-fragment-1632-1.jpg,anger
Northern_Renaissance,disgust,martin-schongauer_altar-of-omgeving-1491,30,that is one nasty wound the person in red has.,new,train,10,that is one nasty wound the person in red has,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_altar-of-omgeving-1491.jpg,disgust
Northern_Renaissance,contentment,martin-schongauer_madonna-on-the-turf-bench,32,The painting shows the contentment of a mother cradling her child in a peaceful moment.,new,train,15,the painting shows the contentment of a mother cradling her child in a peaceful moment,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_madonna-on-the-turf-bench.jpg,contentment
Northern_Renaissance,contentment,martin-schongauer_madonna-on-the-turf-bench,32,The mother is very happy with her little baby.,new,train,9,the mother is very happy with her little baby,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_madonna-on-the-turf-bench.jpg,contentment
Pop_Art,sadness,howard-hodgkin_girl-on-a-sofa-1968,19,It looks like a girl crying bending down,new,train,8,it looks like a girl crying bending down,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Pop_Art/howard-hodgkin_girl-on-a-sofa-1968.jpg,sadness
Mannerism_Late_Renaissance,contentment,correggio_virgin-and-child-with-an-angel-madonna-del-latte-1524,10,"I chose a similar portrait of Jesus the child that shows contentment and love.  Especially, the mother's face.",new,train,19,i chose a similar portrait of jesus the child that shows contentment and love especially the mother 's face,2,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/correggio_virgin-and-child-with-an-angel-madonna-del-latte-1524.jpg,contentment
Abstract_Expressionism,disgust,milton-resnick_flag-1963,12,I can't stare at this painting for more than a minute,new,train,12,i can not stare at this painting for more than a minute,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/milton-resnick_flag-1963.jpg,disgust
Naive_Art_Primitivism,sadness,marc-chagall_they-were-in-forty-pairs-1948,25,The citizens celebrate nudity and partying for unabashed self-satisfaction.,new,train,10,the citizens celebrate nudity and partying for unabashed self satisfaction,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Naive_Art_Primitivism/marc-chagall_they-were-in-forty-pairs-1948.jpg,sadness
Northern_Renaissance,anger,martin-schongauer_altar-of-omgeving-1491,30,two men green and red with the green begging like a dog to the red man,new,train,16,two men green and red with the green begging like a dog to the red man,4,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_altar-of-omgeving-1491.jpg,anger
Minimalism,fear,jiro-yoshihara_untitled(1),17,A red circle that denotes being targeted,new,train,7,a red circle that denotes being targeted,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Minimalism/jiro-yoshihara_untitled(1).jpg,fear
Minimalism,sadness,jiro-yoshihara_untitled(1),17,a circle of blood in a black atmosphere . depressing.,new,train,9,a circle of blood in a black atmosphere depressing,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Minimalism/jiro-yoshihara_untitled(1).jpg,sadness
Minimalism,sadness,jiro-yoshihara_untitled(1),17,The image is a reminder of a gaping black hole - makes you feel alone and empty.,new,train,16,the image is a reminder of a gaping black hole makes you feel alone and empty,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Minimalism/jiro-yoshihara_untitled(1).jpg,sadness
Baroque,sadness,jan-steen_lean-kitchen,7,The room is so dark and cramped that the inhabitants must be too poor to afford anything better.,new,val,18,the room is so dark and cramped that the inhabitants must be too poor to afford anything better,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Baroque/jan-steen_lean-kitchen.jpg,sadness
Northern_Renaissance,disgust,lucas-cranach-the-elder_the-judgment-of-paris-1527,4,I think it is gross that they are all naked in the photo,new,train,13,i think it is gross that they are all naked in the photo,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/lucas-cranach-the-elder_the-judgment-of-paris-1527.jpg,disgust
Color_Field_Painting,fear,helen-frankenthaler_untitled(1),5,"Loneliness, mortality, desperation to go out to take a breather in life.",new,test,12,loneliness mortality desperation to go out to take a breather in life,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/helen-frankenthaler_untitled(1).jpg,fear
Naive_Art_Primitivism,fear,marc-chagall_they-were-in-forty-pairs-1948,25,The red color over all of is naked women looks like it is some kind of hell.,new,train,17,the red color over all of is naked women looks like it is some kind of hell,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Naive_Art_Primitivism/marc-chagall_they-were-in-forty-pairs-1948.jpg,fear
Naive_Art_Primitivism,disgust,marc-chagall_they-were-in-forty-pairs-1948,25,Almost everyone is this picture is naked and they should not be.,new,train,12,almost everyone is this picture is naked and they should not be,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Naive_Art_Primitivism/marc-chagall_they-were-in-forty-pairs-1948.jpg,disgust
Early_Renaissance,fear,domenico-veneziano_matteo-olivieri-1450,5,The red clothing against the black background and the stoic look of the subject in the painting suggests something evil or nefarious.,new,test,22,the red clothing against the black background and the stoic look of the subject in the painting suggests something evil or nefarious,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Early_Renaissance/domenico-veneziano_matteo-olivieri-1450.jpg,fear
Mannerism_Late_Renaissance,fear,titian_perseus-and-andromeda-1556,28,The image above is showing a girl that is tied with chains and a man that is floating on the air.,new,train,21,the image above is showing a girl that is tied with chains and a man that is floating on the air,6,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Mannerism_Late_Renaissance/titian_perseus-and-andromeda-1556.jpg,fear
Abstract_Expressionism,disgust,milton-resnick_flag-1963,12,I can't look at this drawing for more than a few seconds,new,train,13,i can not look at this drawing for more than a few seconds,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Abstract_Expressionism/milton-resnick_flag-1963.jpg,disgust
Rococo,disgust,dmitry-levitzky_natalia-melgunova,10,Old woman trying to look pretty.,new,train,6,old woman trying to look pretty,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Rococo/dmitry-levitzky_natalia-melgunova.jpg,disgust
Color_Field_Painting,disgust,sven-lukin_snug-2010,4,Looks like a large intestine that is about to explode,new,train,10,looks like a large intestine that is about to explode,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/sven-lukin_snug-2010.jpg,disgust
Northern_Renaissance,excitement,martin-schongauer_madonna-on-the-turf-bench,32,A mother mary is playing with her baby with an object like a ball,new,train,14,a mother mary is playing with her baby with an object like a ball,3,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Northern_Renaissance/martin-schongauer_madonna-on-the-turf-bench.jpg,excitement
High_Renaissance,sadness,cima-da-conegliano_st-jerome-in-a-landscape,20,This guy looks very lonely and might be malnourished which is sad,new,train,12,this guy looks very lonely and might be malnourished which is sad,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/High_Renaissance/cima-da-conegliano_st-jerome-in-a-landscape.jpg,sadness
Color_Field_Painting,sadness,theodoros-stamos_infinity-field-lefkada-series-1983,14,dark use of blue and no visible subject,new,train,8,dark use of blue and no visible subject,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/theodoros-stamos_infinity-field-lefkada-series-1983.jpg,sadness
Color_Field_Painting,disgust,theodoros-stamos_infinity-field-lefkada-series-1983,14,Too much blue for my taste,new,train,6,too much blue for my taste,5,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Color_Field_Painting/theodoros-stamos_infinity-field-lefkada-series-1983.jpg,disgust
Realism,sadness,mikhail-nesterov_a-girl-with-kokoshnik-woman-s-headdress-in-old-russia-1885,1,The woman seems to be sad and she is using the headwear as a cover,new,train,15,the woman seems to be sad and she is using the headwear as a cover,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Realism/mikhail-nesterov_a-girl-with-kokoshnik-woman-s-headdress-in-old-russia-1885.jpg,sadness
Naive_Art_Primitivism,awe,pablo-picasso_lying-female-nude-1932,3,"This is really cool piece of art, it really works well together",new,train,12,this is really cool piece of art it really works well together,1,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Naive_Art_Primitivism/pablo-picasso_lying-female-nude-1932.jpg,awe
Romanticism,sadness,konstantin-makovsky_girl-with-jug,1,The posture is forced and she doesn't appear to be consenting to the pose.,new,train,15,the posture is forced and she does not appear to be consenting to the pose,7,/ibex/scratch/mohameys/wiki_art_paintings/rescaled_600px_max_side/Romanticism/konstantin-makovsky_girl-with-jug.jpg,sadness
